delivery_id,order_id,order_date,estimated_delivery_date,delivered_date,delivery_partner,delivery_status
DLV02508,ORD02508,2025-11-13,2025-11-20,,XpressBees,Failed
DLV02509,ORD02509,2025-09-30,2025-10-03,2025-10-03,DTDC,Delivered
DLV02510,ORD02510,2025-04-14,2025-04-21,,DTDC,In Transit
DLV02511,ORD02511,2025-09-17,2025-09-24,,DTDC,Failed
DLV02512,ORD02512,2025-12-08,2025-12-14,,Blue Dart,In Transit
DLV02513,ORD02513,2025-04-22,2025-04-24,,DTDC,Failed
DLV02514,ORD02514,2025-06-07,2025-06-14,2025-06-15,DTDC,Delivered
DLV02515,ORD02515,2025-07-16,2025-07-20,,Delhivery,Out for Delivery
DLV02516,ORD02516,2025-10-18,2025-10-23,,DTDC,Failed
DLV02517,ORD02517,2025-08-28,2025-09-04,,XpressBees,Out for Delivery
DLV02518,ORD02518,2025-08-19,2025-08-21,,XpressBees,Out for Delivery
DLV02519,ORD02519,2025-09-07,2025-09-14,,DTDC,In Transit
DLV02520,ORD02520,2025-10-10,2025-10-17,,Blue Dart,In Transit
DLV02521,ORD02521,2025-07-22,2025-07-29,,DTDC,Failed
DLV02522,ORD02522,2025-08-29,2025-09-04,,Ecom Express,Failed
DLV02523,ORD02523,2025-08-02,2025-08-09,,Delhivery,In Transit
DLV02524,ORD02524,2025-08-26,2025-08-30,,Blue Dart,Failed
DLV02525,ORD02525,2025-05-15,2025-05-21,,Delhivery,Failed
DLV02526,ORD02526,2025-06-14,2025-06-21,,XpressBees,In Transit
DLV02527,ORD02527,2025-12-14,2025-12-16,,Delhivery,Failed
DLV02528,ORD02528,2025-02-08,2025-02-13,,Delhivery,Failed
DLV02529,ORD02529,2025-08-03,2025-08-09,2025-08-08,XpressBees,Delivered
DLV02530,ORD02530,2025-09-14,2025-09-21,,XpressBees,Out for Delivery
DLV02531,ORD02531,2025-06-04,2025-06-11,2025-06-11,Blue Dart,Delivered
DLV02532,ORD02532,2025-02-23,2025-02-28,,Delhivery,In Transit
DLV02533,ORD02533,2025-07-18,2025-07-20,,Delhivery,In Transit
DLV02534,ORD02534,2025-03-09,2025-03-16,,XpressBees,Failed
DLV02535,ORD02535,2025-04-16,2025-04-19,,XpressBees,Delayed
DLV02536,ORD02536,2025-12-08,2025-12-15,,DTDC,Delayed
DLV02537,ORD02537,2025-05-25,2025-05-28,,Ecom Express,Failed
DLV02538,ORD02538,2025-01-13,2025-01-16,,Ecom Express,Out for Delivery
DLV02539,ORD02539,2025-08-12,2025-08-19,,Delhivery,Delayed
DLV02540,ORD02540,2025-07-21,2025-07-26,,Delhivery,Delayed
DLV02541,ORD02541,2025-08-27,2025-08-29,,Ecom Express,Out for Delivery
DLV02542,ORD02542,2025-04-28,2025-05-05,,XpressBees,Out for Delivery
DLV02543,ORD02543,2025-02-21,2025-02-26,,Delhivery,Delayed
DLV02544,ORD02544,2025-10-04,2025-10-07,,Blue Dart,Failed
DLV02545,ORD02545,2025-02-05,2025-02-10,,DTDC,Failed
DLV02546,ORD02546,2025-04-04,2025-04-11,2025-04-14,Delhivery,Delivered
DLV02547,ORD02547,2025-03-16,2025-03-22,,Ecom Express,Failed
DLV02548,ORD02548,2025-06-30,2025-07-06,,Delhivery,Out for Delivery
DLV02549,ORD02549,2025-07-01,2025-07-06,,Delhivery,Delayed
DLV02550,ORD02550,2025-06-22,2025-06-25,,Ecom Express,In Transit
DLV02551,ORD02551,2025-12-02,2025-12-08,,DTDC,Failed
DLV02552,ORD02552,2025-01-29,2025-02-04,,Blue Dart,Out for Delivery
DLV02553,ORD02553,2025-08-25,2025-08-30,,DTDC,Delayed
DLV02554,ORD02554,2025-01-22,2025-01-26,,XpressBees,In Transit
DLV02555,ORD02555,2025-11-02,2025-11-05,,XpressBees,Delayed
DLV02556,ORD02556,2025-01-26,2025-01-30,,XpressBees,Out for Delivery
DLV02557,ORD02557,2025-08-07,2025-08-13,,Delhivery,Delayed
DLV02558,ORD02558,2025-06-25,2025-06-30,,DTDC,Failed
DLV02559,ORD02559,2025-02-19,2025-02-21,,DTDC,Failed
DLV02560,ORD02560,2025-11-13,2025-11-17,,XpressBees,Out for Delivery
DLV02561,ORD02561,2025-08-19,2025-08-24,,DTDC,Out for Delivery
DLV02562,ORD02562,2025-02-22,2025-02-25,,Ecom Express,Delayed
DLV02563,ORD02563,2025-01-16,2025-01-21,,Blue Dart,Out for Delivery
DLV02564,ORD02564,2025-02-18,2025-02-22,2025-02-24,Delhivery,Delivered
DLV02565,ORD02565,2025-03-31,2025-04-02,2025-04-05,XpressBees,Delivered
DLV02566,ORD02566,2025-03-01,2025-03-07,,Blue Dart,Out for Delivery
DLV02567,ORD02567,2025-01-14,2025-01-20,,XpressBees,In Transit
DLV02568,ORD02568,2025-06-20,2025-06-24,,XpressBees,In Transit
DLV02569,ORD02569,2025-06-27,2025-07-02,,XpressBees,Delayed
DLV02570,ORD02570,2025-05-18,2025-05-23,,DTDC,In Transit
DLV02571,ORD02571,2025-03-19,2025-03-23,,Blue Dart,In Transit
DLV02572,ORD02572,2025-06-10,2025-06-13,,Delhivery,Out for Delivery
DLV02573,ORD02573,2025-01-24,2025-01-31,,DTDC,In Transit
DLV02574,ORD02574,2025-07-24,2025-07-31,,XpressBees,In Transit
DLV02575,ORD02575,2025-06-12,2025-06-14,2025-06-14,Ecom Express,Delivered
DLV02576,ORD02576,2025-01-17,2025-01-24,,XpressBees,Out for Delivery
DLV02577,ORD02577,2025-09-23,2025-09-28,2025-09-27,Blue Dart,Delivered
DLV02578,ORD02578,2025-06-04,2025-06-07,,XpressBees,Delayed
DLV02579,ORD02579,2025-07-17,2025-07-22,,Delhivery,Out for Delivery
DLV02580,ORD02580,2025-02-19,2025-02-25,,DTDC,Failed
DLV02581,ORD02581,2025-01-15,2025-01-21,,DTDC,Delayed
DLV02582,ORD02582,2025-10-31,2025-11-05,,Blue Dart,Failed
DLV02583,ORD02583,2025-04-21,2025-04-23,,Ecom Express,Failed
DLV02584,ORD02584,2025-08-05,2025-08-08,,Delhivery,In Transit
DLV02585,ORD02585,2025-10-26,2025-10-29,,DTDC,In Transit
DLV02586,ORD02586,2025-08-01,2025-08-07,,Blue Dart,Failed
DLV02587,ORD02587,2025-10-09,2025-10-11,2025-10-13,DTDC,Delivered
DLV02588,ORD02588,2025-03-26,2025-03-28,,Delhivery,Delayed
DLV02589,ORD02589,2025-11-19,2025-11-22,,Blue Dart,Delayed
DLV02590,ORD02590,2025-06-12,2025-06-18,,Blue Dart,In Transit
DLV02591,ORD02591,2025-04-22,2025-04-29,,Blue Dart,Failed
DLV02592,ORD02592,2025-12-26,2026-01-02,,DTDC,Delayed
DLV02593,ORD02593,2025-12-17,2025-12-22,,DTDC,In Transit
DLV02594,ORD02594,2025-08-18,2025-08-25,,XpressBees,Failed
DLV02595,ORD02595,2025-07-21,2025-07-27,,Ecom Express,Out for Delivery
DLV02596,ORD02596,2025-07-18,2025-07-24,,Delhivery,Delayed
DLV02597,ORD02597,2025-03-02,2025-03-05,,Delhivery,Delayed
DLV02598,ORD02598,2025-01-30,2025-02-06,,Blue Dart,Out for Delivery
DLV02599,ORD02599,2025-04-03,2025-04-06,,Blue Dart,Out for Delivery
DLV02600,ORD02600,2025-09-05,2025-09-08,,XpressBees,Delayed
DLV02601,ORD02601,2025-09-09,2025-09-16,,Blue Dart,Failed
DLV02602,ORD02602,2025-06-04,2025-06-08,,Blue Dart,Failed
DLV02603,ORD02603,2025-05-17,2025-05-21,,DTDC,Delayed
DLV02604,ORD02604,2025-05-12,2025-05-16,2025-05-18,Blue Dart,Delivered
DLV02605,ORD02605,2025-01-29,2025-02-04,,Ecom Express,Delayed
DLV02606,ORD02606,2025-09-08,2025-09-12,,Blue Dart,Failed
DLV02607,ORD02607,2025-06-07,2025-06-13,,Ecom Express,Failed
DLV02608,ORD02608,2025-03-22,2025-03-26,,XpressBees,Out for Delivery
DLV02609,ORD02609,2025-04-12,2025-04-14,,XpressBees,Delayed
DLV02610,ORD02610,2025-06-30,2025-07-02,2025-07-04,DTDC,Delivered
DLV02611,ORD02611,2025-12-25,2025-12-31,,Ecom Express,Failed
DLV02612,ORD02612,2025-02-12,2025-02-18,,XpressBees,Out for Delivery
DLV02613,ORD02613,2025-02-05,2025-02-12,2025-02-12,Blue Dart,Delivered
DLV02614,ORD02614,2025-09-05,2025-09-08,,Ecom Express,Out for Delivery
DLV02615,ORD02615,2025-12-29,2025-12-31,,Ecom Express,Delayed
DLV02616,ORD02616,2025-12-16,2025-12-21,,Ecom Express,Failed
DLV02617,ORD02617,2025-11-30,2025-12-06,,Ecom Express,Out for Delivery
DLV02618,ORD02618,2025-12-20,2025-12-25,,Blue Dart,Failed
DLV02619,ORD02619,2025-10-15,2025-10-17,,Delhivery,Delayed
DLV02620,ORD02620,2025-07-24,2025-07-31,,XpressBees,Out for Delivery
DLV02621,ORD02621,2025-07-19,2025-07-23,,DTDC,Out for Delivery
DLV02622,ORD02622,2025-10-21,2025-10-28,2025-10-28,Delhivery,Delivered
DLV02623,ORD02623,2025-02-20,2025-02-22,2025-02-23,DTDC,Delivered
DLV02624,ORD02624,2025-12-01,2025-12-06,,Delhivery,Out for Delivery
DLV02625,ORD02625,2025-03-14,2025-03-16,,Blue Dart,In Transit
DLV02626,ORD02626,2025-01-31,2025-02-06,,Blue Dart,Failed
DLV02627,ORD02627,2025-02-12,2025-02-18,2025-02-19,Delhivery,Delivered
DLV02628,ORD02628,2025-08-07,2025-08-14,2025-08-17,XpressBees,Delivered
DLV02629,ORD02629,2025-07-22,2025-07-26,2025-07-27,DTDC,Delivered
DLV02630,ORD02630,2025-12-05,2025-12-11,,Delhivery,In Transit
DLV02631,ORD02631,2025-09-03,2025-09-07,,Ecom Express,Out for Delivery
DLV02632,ORD02632,2025-07-27,2025-08-03,,XpressBees,In Transit
DLV02633,ORD02633,2025-06-17,2025-06-19,2025-06-21,Delhivery,Delivered
DLV02634,ORD02634,2025-11-04,2025-11-08,,XpressBees,Out for Delivery
DLV02635,ORD02635,2025-04-10,2025-04-13,,XpressBees,Delayed
DLV02636,ORD02636,2025-09-25,2025-10-01,,Blue Dart,Failed
DLV02637,ORD02637,2025-09-17,2025-09-20,,Blue Dart,Failed
DLV02638,ORD02638,2025-03-18,2025-03-24,,XpressBees,Failed
DLV02639,ORD02639,2025-12-28,2026-01-02,,Delhivery,In Transit
DLV02640,ORD02640,2025-01-15,2025-01-20,,Ecom Express,Out for Delivery
DLV02641,ORD02641,2025-01-17,2025-01-24,,XpressBees,Out for Delivery
DLV02642,ORD02642,2025-04-07,2025-04-09,,Ecom Express,Failed
DLV02643,ORD02643,2025-01-06,2025-01-12,2025-01-15,DTDC,Delivered
DLV02644,ORD02644,2025-03-26,2025-03-31,,DTDC,Failed
DLV02645,ORD02645,2025-06-25,2025-06-30,,Delhivery,In Transit
DLV02646,ORD02646,2025-12-12,2025-12-17,2025-12-17,Delhivery,Delivered
DLV02647,ORD02647,2025-05-09,2025-05-13,,XpressBees,In Transit
DLV02648,ORD02648,2025-03-09,2025-03-16,2025-03-16,Delhivery,Delivered
DLV02649,ORD02649,2025-12-20,2025-12-26,,Delhivery,Failed
DLV02650,ORD02650,2025-05-13,2025-05-19,2025-05-20,XpressBees,Delivered
DLV02651,ORD02651,2025-09-18,2025-09-25,,DTDC,Delayed
DLV02652,ORD02652,2025-06-13,2025-06-16,,XpressBees,Delayed
DLV02653,ORD02653,2025-04-23,2025-04-25,,Ecom Express,Failed
DLV02654,ORD02654,2025-06-08,2025-06-15,,Delhivery,Out for Delivery
DLV02655,ORD02655,2025-07-08,2025-07-13,,XpressBees,Failed
DLV02656,ORD02656,2025-12-14,2025-12-21,,XpressBees,In Transit
DLV02657,ORD02657,2025-02-03,2025-02-09,,XpressBees,In Transit
DLV02658,ORD02658,2025-01-26,2025-01-31,,XpressBees,Out for Delivery
DLV02659,ORD02659,2025-02-19,2025-02-21,,Blue Dart,Delayed
DLV02660,ORD02660,2025-10-15,2025-10-20,,DTDC,Delayed
DLV02661,ORD02661,2025-07-31,2025-08-04,,Ecom Express,Delayed
DLV02662,ORD02662,2025-01-06,2025-01-08,2025-01-10,DTDC,Delivered
DLV02663,ORD02663,2025-05-16,2025-05-21,,Delhivery,In Transit
DLV02664,ORD02664,2025-09-08,2025-09-13,,Blue Dart,Failed
DLV02665,ORD02665,2025-04-16,2025-04-19,,Delhivery,In Transit
DLV02666,ORD02666,2025-11-08,2025-11-14,2025-11-15,Ecom Express,Delivered
DLV02667,ORD02667,2025-12-30,2026-01-04,,DTDC,Out for Delivery
DLV02668,ORD02668,2025-12-10,2025-12-16,,DTDC,Out for Delivery
DLV02669,ORD02669,2025-03-26,2025-03-30,,Ecom Express,Delayed
DLV02670,ORD02670,2025-03-23,2025-03-30,,Delhivery,Delayed
DLV02671,ORD02671,2025-06-12,2025-06-17,,Ecom Express,Failed
DLV02672,ORD02672,2025-10-21,2025-10-26,,Blue Dart,Failed
DLV02673,ORD02673,2025-10-28,2025-10-30,2025-10-29,Delhivery,Delivered
DLV02674,ORD02674,2025-03-18,2025-03-21,,XpressBees,In Transit
DLV02675,ORD02675,2025-02-20,2025-02-22,2025-02-22,XpressBees,Delivered
DLV02676,ORD02676,2025-02-19,2025-02-26,,Blue Dart,Failed
DLV02677,ORD02677,2025-02-09,2025-02-15,,Blue Dart,Failed
DLV02678,ORD02678,2025-03-30,2025-04-02,,XpressBees,Failed
DLV02679,ORD02679,2025-06-23,2025-06-27,,Blue Dart,In Transit
DLV02680,ORD02680,2025-03-18,2025-03-24,,DTDC,Out for Delivery
DLV02681,ORD02681,2025-05-06,2025-05-11,,Ecom Express,In Transit
DLV02682,ORD02682,2025-07-25,2025-07-27,,XpressBees,Failed
DLV02683,ORD02683,2025-01-22,2025-01-26,,Ecom Express,In Transit
DLV02684,ORD02684,2025-03-09,2025-03-14,,Blue Dart,Failed
DLV02685,ORD02685,2025-05-27,2025-05-31,,Blue Dart,Delayed
DLV02686,ORD02686,2025-10-20,2025-10-23,2025-10-23,Delhivery,Delivered
DLV02687,ORD02687,2025-11-27,2025-12-04,,Ecom Express,Out for Delivery
DLV02688,ORD02688,2025-07-10,2025-07-16,,DTDC,Failed
DLV02689,ORD02689,2025-01-22,2025-01-27,,DTDC,Delayed
DLV02690,ORD02690,2025-05-27,2025-06-01,,Blue Dart,Delayed
DLV02691,ORD02691,2025-10-08,2025-10-11,2025-10-12,XpressBees,Delivered
DLV02692,ORD02692,2025-11-28,2025-12-03,2025-12-06,Ecom Express,Delivered
DLV02693,ORD02693,2025-07-27,2025-08-02,,DTDC,Out for Delivery
DLV02694,ORD02694,2025-02-28,2025-03-07,,XpressBees,Out for Delivery
DLV02695,ORD02695,2025-10-31,2025-11-04,,Ecom Express,Delayed
DLV02696,ORD02696,2025-07-28,2025-07-30,,Ecom Express,Delayed
DLV02697,ORD02697,2025-01-25,2025-01-27,,Blue Dart,Delayed
DLV02698,ORD02698,2025-04-04,2025-04-10,,Blue Dart,Failed
DLV02699,ORD02699,2025-10-02,2025-10-07,2025-10-09,XpressBees,Delivered
DLV02700,ORD02700,2025-02-05,2025-02-10,,DTDC,In Transit
DLV02701,ORD02701,2025-05-20,2025-05-22,,Delhivery,In Transit
DLV02702,ORD02702,2025-09-01,2025-09-06,2025-09-07,Blue Dart,Delivered
DLV02703,ORD02703,2025-08-31,2025-09-05,2025-09-07,DTDC,Delivered
DLV02704,ORD02704,2025-06-22,2025-06-24,,Delhivery,Delayed
DLV02705,ORD02705,2025-08-08,2025-08-10,,Blue Dart,Failed
DLV02706,ORD02706,2025-09-28,2025-09-30,2025-10-02,DTDC,Delivered
DLV02707,ORD02707,2025-08-23,2025-08-30,,Delhivery,Out for Delivery
DLV02708,ORD02708,2025-04-28,2025-05-04,2025-05-04,Blue Dart,Delivered
DLV02709,ORD02709,2025-04-30,2025-05-03,,Delhivery,Failed
DLV02710,ORD02710,2025-07-22,2025-07-24,2025-07-27,XpressBees,Delivered
DLV02711,ORD02711,2025-08-20,2025-08-23,2025-08-26,Blue Dart,Delivered
DLV02712,ORD02712,2025-07-24,2025-07-30,,Delhivery,In Transit
DLV02713,ORD02713,2025-04-23,2025-04-27,,Blue Dart,Out for Delivery
DLV02714,ORD02714,2025-07-12,2025-07-18,,XpressBees,In Transit
DLV02715,ORD02715,2025-10-10,2025-10-14,,DTDC,In Transit
DLV02716,ORD02716,2025-04-08,2025-04-13,,Delhivery,Out for Delivery
DLV02717,ORD02717,2025-08-29,2025-09-04,,Blue Dart,Out for Delivery
DLV02718,ORD02718,2025-09-21,2025-09-27,,Ecom Express,Failed
DLV02719,ORD02719,2025-06-06,2025-06-09,,Blue Dart,In Transit
DLV02720,ORD02720,2025-04-06,2025-04-09,,Ecom Express,Out for Delivery
DLV02721,ORD02721,2025-09-12,2025-09-18,2025-09-19,XpressBees,Delivered
DLV02722,ORD02722,2025-10-06,2025-10-12,,XpressBees,Delayed
DLV02723,ORD02723,2025-07-27,2025-07-31,,DTDC,Failed
DLV02724,ORD02724,2025-05-06,2025-05-13,2025-05-16,XpressBees,Delivered
DLV02725,ORD02725,2025-03-15,2025-03-19,,Blue Dart,In Transit
DLV02726,ORD02726,2025-10-26,2025-10-31,,XpressBees,Delayed
DLV02727,ORD02727,2025-12-10,2025-12-17,,Ecom Express,Delayed
DLV02728,ORD02728,2025-11-13,2025-11-18,,Ecom Express,Failed
DLV02729,ORD02729,2025-09-23,2025-09-27,,Ecom Express,Failed
DLV02730,ORD02730,2025-12-22,2025-12-24,,DTDC,In Transit
DLV02731,ORD02731,2025-04-26,2025-04-29,,Delhivery,In Transit
DLV02732,ORD02732,2025-01-17,2025-01-19,2025-01-19,Delhivery,Delivered
DLV02733,ORD02733,2025-08-16,2025-08-22,,Blue Dart,In Transit
DLV02734,ORD02734,2025-02-14,2025-02-19,,Blue Dart,Delayed
DLV02735,ORD02735,2025-10-07,2025-10-11,,Delhivery,In Transit
DLV02736,ORD02736,2025-09-15,2025-09-18,2025-09-21,Blue Dart,Delivered
DLV02737,ORD02737,2025-03-06,2025-03-10,,Delhivery,Delayed
DLV02738,ORD02738,2025-11-24,2025-11-28,,Blue Dart,Delayed
DLV02739,ORD02739,2025-08-17,2025-08-20,,Ecom Express,Out for Delivery
DLV02740,ORD02740,2025-09-27,2025-09-30,,DTDC,Failed
DLV02741,ORD02741,2025-08-11,2025-08-17,,DTDC,In Transit
DLV02742,ORD02742,2025-04-07,2025-04-12,,XpressBees,Delayed
DLV02743,ORD02743,2025-04-05,2025-04-09,2025-04-10,Blue Dart,Delivered
DLV02744,ORD02744,2025-05-29,2025-05-31,,Delhivery,Delayed
DLV02745,ORD02745,2025-12-12,2025-12-15,,Blue Dart,Failed
DLV02746,ORD02746,2025-01-12,2025-01-17,,DTDC,Failed
DLV02747,ORD02747,2025-05-19,2025-05-24,,Ecom Express,In Transit
DLV02748,ORD02748,2025-01-08,2025-01-10,,XpressBees,Delayed
DLV02749,ORD02749,2025-03-13,2025-03-15,,DTDC,In Transit
DLV02750,ORD02750,2025-05-20,2025-05-23,2025-05-24,Delhivery,Delivered
DLV02751,ORD02751,2025-05-06,2025-05-13,,DTDC,Failed
DLV02752,ORD02752,2025-04-10,2025-04-14,,Delhivery,Delayed
DLV02753,ORD02753,2025-06-01,2025-06-06,,Blue Dart,In Transit
DLV02754,ORD02754,2025-02-18,2025-02-22,,Delhivery,Failed
DLV02755,ORD02755,2025-12-26,2025-12-31,,Ecom Express,Failed
DLV02756,ORD02756,2025-10-18,2025-10-20,,Delhivery,In Transit
DLV02757,ORD02757,2025-01-07,2025-01-13,,XpressBees,Failed
DLV02758,ORD02758,2025-01-30,2025-02-02,,Delhivery,Failed
DLV02759,ORD02759,2025-05-01,2025-05-05,,DTDC,In Transit
DLV02760,ORD02760,2025-03-29,2025-04-02,2025-04-04,DTDC,Delivered
DLV02761,ORD02761,2025-05-23,2025-05-27,,Blue Dart,Delayed
DLV02762,ORD02762,2025-04-03,2025-04-05,,Blue Dart,Failed
DLV02763,ORD02763,2025-01-28,2025-02-01,,Blue Dart,Out for Delivery
DLV02764,ORD02764,2025-04-07,2025-04-12,2025-04-12,Blue Dart,Delivered
DLV02765,ORD02765,2025-01-02,2025-01-09,2025-01-12,XpressBees,Delivered
DLV02766,ORD02766,2025-11-29,2025-12-04,,Blue Dart,Out for Delivery
DLV02767,ORD02767,2025-02-22,2025-02-25,,Ecom Express,In Transit
DLV02768,ORD02768,2025-05-10,2025-05-12,2025-05-15,XpressBees,Delivered
DLV02769,ORD02769,2025-01-08,2025-01-15,,DTDC,In Transit
DLV02770,ORD02770,2025-06-05,2025-06-11,2025-06-12,Delhivery,Delivered
DLV02771,ORD02771,2025-01-08,2025-01-15,,Ecom Express,Delayed
DLV02772,ORD02772,2025-12-02,2025-12-07,,Blue Dart,Delayed
DLV02773,ORD02773,2025-09-20,2025-09-27,2025-09-28,Ecom Express,Delivered
DLV02774,ORD02774,2025-08-19,2025-08-22,,Ecom Express,Delayed
DLV02775,ORD02775,2025-03-07,2025-03-13,,DTDC,Out for Delivery
DLV02776,ORD02776,2025-09-13,2025-09-15,,Ecom Express,Out for Delivery
DLV02777,ORD02777,2025-03-29,2025-04-05,,Delhivery,Failed
DLV02778,ORD02778,2025-12-03,2025-12-07,,Ecom Express,In Transit
DLV02779,ORD02779,2025-02-12,2025-02-18,,Ecom Express,Failed
DLV02780,ORD02780,2025-08-17,2025-08-19,,XpressBees,In Transit
DLV02781,ORD02781,2025-03-04,2025-03-09,,Ecom Express,Delayed
DLV02782,ORD02782,2025-02-25,2025-03-04,,DTDC,In Transit
DLV02783,ORD02783,2025-10-09,2025-10-14,,Delhivery,Delayed
DLV02784,ORD02784,2025-07-24,2025-07-29,,DTDC,Failed
DLV02785,ORD02785,2025-04-20,2025-04-24,,Blue Dart,Out for Delivery
DLV02786,ORD02786,2025-03-01,2025-03-03,,DTDC,Delayed
DLV02787,ORD02787,2025-02-05,2025-02-08,,Ecom Express,Failed
DLV02788,ORD02788,2025-03-29,2025-04-04,,DTDC,In Transit
DLV02789,ORD02789,2025-02-26,2025-03-02,,Ecom Express,In Transit
DLV02790,ORD02790,2025-09-30,2025-10-05,,Delhivery,Out for Delivery
DLV02791,ORD02791,2025-03-07,2025-03-12,,Blue Dart,In Transit
DLV02792,ORD02792,2025-08-10,2025-08-12,,Delhivery,Failed
DLV02793,ORD02793,2025-03-04,2025-03-11,,DTDC,Delayed
DLV02794,ORD02794,2025-05-11,2025-05-18,,Ecom Express,Out for Delivery
DLV02795,ORD02795,2025-04-16,2025-04-21,,Ecom Express,In Transit
DLV02796,ORD02796,2025-04-09,2025-04-14,2025-04-17,Blue Dart,Delivered
DLV02797,ORD02797,2025-05-07,2025-05-10,2025-05-11,Delhivery,Delivered
DLV02798,ORD02798,2025-08-05,2025-08-12,,XpressBees,In Transit
DLV02799,ORD02799,2025-07-04,2025-07-06,2025-07-06,XpressBees,Delivered
DLV02800,ORD02800,2025-07-09,2025-07-12,,Delhivery,Out for Delivery
DLV02801,ORD02801,2025-07-16,2025-07-21,,Ecom Express,Failed
DLV02802,ORD02802,2025-11-06,2025-11-12,,DTDC,Failed
DLV02803,ORD02803,2025-10-01,2025-10-08,,Delhivery,Delayed
DLV02804,ORD02804,2025-11-02,2025-11-09,2025-11-08,DTDC,Delivered
DLV02805,ORD02805,2025-03-21,2025-03-28,,DTDC,Out for Delivery
DLV02806,ORD02806,2025-07-12,2025-07-18,2025-07-19,Delhivery,Delivered
DLV02807,ORD02807,2025-07-02,2025-07-04,,DTDC,Failed
DLV02808,ORD02808,2025-11-07,2025-11-10,,XpressBees,Out for Delivery
DLV02809,ORD02809,2025-12-08,2025-12-10,,Delhivery,Out for Delivery
DLV02810,ORD02810,2025-02-09,2025-02-11,,Delhivery,Failed
DLV02811,ORD02811,2025-05-02,2025-05-06,,Ecom Express,Out for Delivery
DLV02812,ORD02812,2025-04-20,2025-04-26,,XpressBees,In Transit
DLV02813,ORD02813,2025-07-19,2025-07-25,2025-07-28,Delhivery,Delivered
DLV02814,ORD02814,2025-05-13,2025-05-16,,Blue Dart,Failed
DLV02815,ORD02815,2025-01-25,2025-02-01,,Ecom Express,Delayed
DLV02816,ORD02816,2025-03-28,2025-04-04,,Ecom Express,In Transit
DLV02817,ORD02817,2025-01-13,2025-01-15,,Blue Dart,In Transit
DLV02818,ORD02818,2025-05-27,2025-06-03,,XpressBees,In Transit
DLV02819,ORD02819,2025-10-03,2025-10-06,,XpressBees,In Transit
DLV02820,ORD02820,2025-09-17,2025-09-22,,DTDC,Failed
DLV02821,ORD02821,2025-08-21,2025-08-27,,Delhivery,Failed
DLV02822,ORD02822,2025-03-11,2025-03-13,,Delhivery,Out for Delivery
DLV02823,ORD02823,2025-06-18,2025-06-22,,DTDC,In Transit
DLV02824,ORD02824,2025-05-22,2025-05-27,,DTDC,Delayed
DLV02825,ORD02825,2025-10-27,2025-10-31,2025-11-01,XpressBees,Delivered
DLV02826,ORD02826,2025-04-21,2025-04-25,,Blue Dart,Out for Delivery
DLV02827,ORD02827,2025-03-18,2025-03-22,,Ecom Express,Out for Delivery
DLV02828,ORD02828,2025-10-27,2025-10-29,2025-11-01,Ecom Express,Delivered
DLV02829,ORD02829,2025-07-02,2025-07-04,2025-07-05,Ecom Express,Delivered
DLV02830,ORD02830,2025-03-14,2025-03-18,,Delhivery,Delayed
DLV02831,ORD02831,2025-06-30,2025-07-04,,DTDC,Delayed
DLV02832,ORD02832,2025-01-01,2025-01-06,,Delhivery,Delayed
DLV02833,ORD02833,2025-08-24,2025-08-27,2025-08-26,Blue Dart,Delivered
DLV02834,ORD02834,2025-12-20,2025-12-23,,Blue Dart,Failed
DLV02835,ORD02835,2025-10-19,2025-10-25,2025-10-26,XpressBees,Delivered
DLV02836,ORD02836,2025-07-08,2025-07-11,,Blue Dart,In Transit
DLV02837,ORD02837,2025-01-18,2025-01-21,,XpressBees,Out for Delivery
DLV02838,ORD02838,2025-07-11,2025-07-18,,Blue Dart,Out for Delivery
DLV02839,ORD02839,2025-05-29,2025-06-05,2025-06-07,XpressBees,Delivered
DLV02840,ORD02840,2025-05-16,2025-05-18,,DTDC,Failed
DLV02841,ORD02841,2025-07-20,2025-07-25,,Ecom Express,Delayed
DLV02842,ORD02842,2025-03-28,2025-03-30,,Blue Dart,Delayed
DLV02843,ORD02843,2025-10-21,2025-10-23,2025-10-23,Blue Dart,Delivered
DLV02844,ORD02844,2025-01-12,2025-01-16,,Ecom Express,Out for Delivery
DLV02845,ORD02845,2025-09-07,2025-09-13,,Ecom Express,Failed
DLV02846,ORD02846,2025-07-25,2025-07-28,,Delhivery,Delayed
DLV02847,ORD02847,2025-04-14,2025-04-20,2025-04-23,DTDC,Delivered
DLV02848,ORD02848,2025-06-19,2025-06-22,,Ecom Express,Delayed
DLV02849,ORD02849,2025-11-11,2025-11-13,,Blue Dart,Delayed
DLV02850,ORD02850,2025-05-28,2025-06-02,,DTDC,Out for Delivery
DLV02851,ORD02851,2025-04-14,2025-04-16,,XpressBees,Delayed
DLV02852,ORD02852,2025-02-22,2025-03-01,2025-02-28,Blue Dart,Delivered
DLV02853,ORD02853,2025-08-14,2025-08-17,,Ecom Express,Out for Delivery
DLV02854,ORD02854,2025-11-21,2025-11-23,2025-11-24,Blue Dart,Delivered
DLV02855,ORD02855,2025-03-26,2025-03-31,,DTDC,Failed
DLV02856,ORD02856,2025-10-05,2025-10-10,,XpressBees,Out for Delivery
DLV02857,ORD02857,2025-08-29,2025-09-01,,XpressBees,Delayed
DLV02858,ORD02858,2025-05-10,2025-05-13,,XpressBees,In Transit
DLV02859,ORD02859,2025-11-12,2025-11-18,,Delhivery,Delayed
